id,activity,application,application_id,attachments,author.accent_color,author.avatar,author.avatar_decoration_data,author.avatar_decoration_data.asset,author.avatar_decoration_data.expires_at,author.avatar_decoration_data.sku_id,author.banner,author.banner_color,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call.ended_timestamp,call.participants.0,call.participants.1,channel_id,components,content,date,edited_timestamp,embeds,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1309272682704932954,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-21T21:42:29.002000+00:00,1245743697191239704,,1260185270637297716,,,2024-11-21T21:42:12.667Z,,,0,,,false,,,,false,,,,,,,,,2024-11-21T21:42:12.667000+00:00,false,3,method1909,
1309267736118956134,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-21T21:23:06.447000+00:00,1245743697191239704,,1260185270637297716,,,2024-11-21T21:22:33.309Z,,,0,,,false,,,,false,,,,,,,,,2024-11-21T21:22:33.309000+00:00,false,3,method1909,
1309265564870381578,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-21T21:14:30.710000+00:00,1245743697191239704,,1260185270637297716,,,2024-11-21T21:13:55.643Z,,,0,,,false,,,,false,,,,,,,,,2024-11-21T21:13:55.643000+00:00,false,3,method1909,
1309265529793413211,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-21T21:13:54.054000+00:00,1245743697191239704,,1260185270637297716,,,2024-11-21T21:13:47.280Z,,,0,,,false,,,,false,,,,,,,,,2024-11-21T21:13:47.280000+00:00,false,3,method1909,
1309185173878996996,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-21T21:12:24.064000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-21T15:54:28.937Z,,,0,,,false,,,,false,,,,,,,,,2024-11-21T15:54:28.937000+00:00,false,3,method1909,
1308792536856530974,,,,,,f299d2f98a380b47370b6d42f7398186,,,,,,,,0,0,,1260176972202381359,,0,_kafkasdaughter,2024-11-20T23:40:50.498000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-20T13:54:16.976Z,,,0,,,false,,,,false,,,,,,,,,2024-11-20T13:54:16.976000+00:00,false,3,_kafkasdaughter,
1308460427239493653,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-19T23:21:42.344000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-19T15:54:35.873Z,,,0,,,false,,,,false,,,,,,,,,2024-11-19T15:54:35.873000+00:00,false,3,method1909,
1308098660994781276,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-18T22:20:15.916000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-18T15:57:04.079Z,,,0,,,false,,,,false,,,,,,,,,2024-11-18T15:57:04.079000+00:00,false,3,method1909,
1307732794243547198,,,,,,f299d2f98a380b47370b6d42f7398186,,,,,,,,0,0,,1260176972202381359,,0,_kafkasdaughter,2024-11-17T22:44:37.130000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-17T15:43:14.648Z,,,0,,,false,,,,false,,,,,,,,,2024-11-17T15:43:14.648000+00:00,false,3,_kafkasdaughter,
1307005841685217311,,,,,,69bf7e3c0944e0edfa08457f5087e235,,a_7f1a6455d390697420e8b3af663143b3,1737792000,1305905202578325535,,,,0,0,method1909,1245743697191239704,,0,method1909,2024-11-15T18:59:30.529000+00:00,1245743697191239704,1260176972202381359,1260185270637297716,,,2024-11-15T15:34:35.652Z,,,0,,,false,,,,false,,,,,,,,,2024-11-15T15:34:35.652000+00:00,false,3,method1909,
